r_mu_pct,opc_2030
3.674953,132.030645
3.675475,131.985700
3.683742,131.280336
3.683784,131.276061
3.690169,130.734353
3.692084,130.567210
3.695559,130.272696
3.700361,129.869941
3.708609,129.177419
3.708726,129.168151
3.709610,129.094550
3.716935,128.481950
3.722646,128.007632
3.725176,127.796149
3.726943,127.653704
3.733402,127.118725
3.738493,126.699871
3.741708,126.435943
3.748338,125.896807
3.749940,125.764681
3.758160,125.100098
3.759933,124.955763
3.764954,124.551456
3.766433,124.432109
3.774657,123.772597
3.775194,123.731080
3.782857,123.122557
3.785718,122.893955
3.791127,122.466644
3.793054,122.313647
3.797276,121.981635
3.799314,121.820752
3.802910,121.540280
3.807493,121.181767
3.815757,120.538415
3.817222,120.424336
3.819746,120.229960
3.823939,119.905705
3.831036,119.360555
3.832101,119.280559
3.840346,118.648884
3.843438,118.414490
3.848503,118.029676
3.852210,117.749425
3.854048,117.610709
3.856659,117.414596
3.864885,116.796717
3.868512,116.525941
3.873018,116.190806
3.877714,115.841084
3.880034,115.669433
3.881245,115.578815
3.889378,114.980599
3.889475,114.973514
3.897509,114.385162
3.899901,114.209977
3.905704,113.787716
3.909680,113.500029
3.912925,113.264704
3.913825,113.200490
3.921934,112.616866
3.928439,112.151528
3.930136,112.030776
3.934533,111.717104
3.938226,111.454489
3.938858,111.409816
3.946239,110.888081
3.946319,110.882352
3.954500,110.308036
3.955246,110.255832
3.962278,109.764853
3.962586,109.743114
3.970666,109.182013
3.977227,108.728764
3.978641,108.631606
3.978830,108.618860
3.986903,108.065338
3.989779,107.868517
3.997884,107.316977
4.008986,106.567037
4.016631,106.053946
4.027383,105.337906
4.030018,105.163008
4.044023,104.239953
4.047125,104.036799
4.058812,103.275773
4.067189,102.734273
4.076535,102.134246
4.084621,101.618296
4.092815,101.098936
4.096462,100.868623
4.103972,100.396574
4.115849,99.655355
4.121147,99.326650
4.131613,98.681623
4.140362,98.146139
4.151093,97.493969
4.152722,97.395257
4.161944,96.839854
4.174484,96.090691
4.185135,95.459708
4.185964,95.410966
4.196963,94.764976
4.206942,94.183799
4.217255,93.587512
4.220358,93.408831
4.226336,93.066161
4.240444,92.263535
4.249966,91.726676
4.252619,91.577739
4.261881,91.060149
4.271691,90.515925
4.282146,89.940142
4.286300,89.712680
4.293763,89.305817
4.305901,88.648916
4.315922,88.111088
4.316974,88.054736
4.325764,87.586830
4.336106,87.040079
4.343775,86.637086
4.349649,86.330384
4.357551,85.919708
4.369571,85.299546
4.380699,84.730492
4.389774,84.312265
4.394180,84.090109
4.399965,83.799538
4.407130,83.441607
4.415865,83.007645
4.424147,82.598942
4.431279,82.249051
4.444868,81.587578
4.454651,81.115571
4.458273,80.941679
4.470906,80.339058
4.477126,80.044515
4.486030,79.625238
4.488674,79.501248
4.503891,78.792653
4.510270,78.498034
4.516188,78.225869
4.522918,77.918181
4.528365,77.670103
4.538123,77.228292
4.548257,76.772988
4.559990,76.250150
4.565875,75.989678
4.574818,75.595937
4.581592,75.299604
4.592624,74.820097
4.599963,74.503363
4.605794,74.252999
4.614881,73.865082
4.623658,73.492862
4.631943,73.143758
4.636370,72.958028
4.645198,72.589706
4.654485,72.204948
4.658570,72.036461
4.667821,71.656927
4.675672,71.336977
4.687547,70.856725
4.696673,70.490530
4.702315,70.265363
4.709900,69.964187
4.716689,69.695983
4.724142,69.403330
