sweep,cell,beta,tau,eta,rho,mac,dt,converged,chosen_from,was_dup,d_score,alt_mac,alt_dt,r_mu_pct
mc/mc_low_rmu_s_beta0_5,mc_low_rmu_s_beta0_5_gid-276_20260711_043312,0.5,0.998,1.686078,-0.005185,377.998870124,1.3187285991,True,mc/mc_low_rmu_s_beta0_5,False,,,,3.71795566588
mc/mc_infill_1_2,mc_infill_1_2_gid-132_20260714_175417,0.5,0.998,1.686708,-0.023845,649.483973556,0.747761770579,True,mc/mc_infill_1_2,False,,,,2.30032007579
mc/mc_beta0.5_s,mc_beta0.5_s_gid-1050_20260710_053659,0.5,0.998,1.687593,0.004581,296.603371481,1.54519145972,True,mc/mc_beta0.5_s,False,,,,4.46900605207
mc/mc_beta0.5_s,mc_beta0.5_s_gid-369_20260710_100351,0.5,0.998,1.688381,0.002255,312.973299153,1.49542191868,True,mc/mc_beta0.5_s,False,,,,4.29603602553
mc/mc_low_rmu_s_beta0_5,mc_low_rmu_s_beta0_5_gid-324_20260711_043314,0.5,0.998,1.689969,-0.00104,338.945058181,1.42108184757,True,mc/mc_low_rmu_s_beta0_5,False,,,,4.05312664522
mc/mc_beta0.5_s,mc_beta0.5_s_gid-1167_20260710_053809,0.5,0.998,1.692507,0.008281,273.055404826,1.62098697161,True,mc/mc_beta0.5_s,False,,,,4.75742749964
mc/mc_infill_2_3,mc_infill_2_3_gid-288_20260715_041622,0.5,0.998,1.692659,-0.01246,461.466551322,1.12368385009,True,mc/mc_infill_2_3,True,0.25264,461.466551,1.123684,3.18693972697
mc/mc_beta0.5_s,mc_beta0.5_s_gid-786_20260710_101348,0.5,0.998,1.694312,0.009802,264.420227284,1.65005950864,True,mc/mc_beta0.5_s,False,,,,4.87581493341
mc/mc_infill_1_2,mc_infill_1_2_gid-126_20260714_175639,0.5,0.998,1.694427,-0.025453,680.924713109,0.693225048323,True,mc/mc_infill_1_2,False,,,,2.20113590141
mc/mc_low_rmu_s_beta0_5,mc_low_rmu_s_beta0_5_gid-207_20260711_043314,0.5,0.998,1.696234,0.014076,242.957651374,1.72718171903,True,mc/mc_low_rmu_s_beta0_5,False,,,,5.20312079036
mc/mc_beta0.5_s,mc_beta0.5_s_gid-1086_20260710_053943,0.5,0.998,1.697768,0.001946,314.079553367,1.49103201191,True,mc/mc_beta0.5_s,False,,,,4.29256640019
mc/mc_beta0.5_s,mc_beta0.5_s_gid-1266_20260710_054442,0.5,0.998,1.698443,0.012353,250.994020787,1.69739277157,True,mc/mc_beta0.5_s,False,,,,5.07702698261
mc/mc_infill_2_3_b,mc_infill_2_3_b_gid-66_20260715_002403,0.5,0.998,1.700905,-0.012353,457.847076586,1.13050932782,True,mc/mc_infill_2_3_b,True,0.2524,457.906694,1.130267,3.21389050927
mc/mc_wrongbasin_ws,mc_wrongbasin_ws_gid-50_20260713_015216,0.5,0.998,1.703163,-0.011018,440.062091409,1.16904945538,True,mc/mc_wrongbasin_ws,True,0.200174,440.058633,1.169034,3.32125514946
mc/mc_infill_1_2,mc_infill_1_2_gid-114_20260714_174807,0.5,0.998,1.704022,-0.021081,589.777579698,0.854496083976,True,mc/mc_infill_1_2,False,,,,2.55253928733
mc/mc_infill_lt1_ws,mc_infill_lt1_ws_gid-304_20260715_223533,0.5,0.998,1.704709,-0.035962,895.533039629,0.312719170332,True,mc/mc_infill_lt1_ws,True,0.011812,931.889426,0.285302,1.31492372244
mc/mc_beta0.5_s,mc_beta0.5_s_gid-1365_20260710_055416,0.5,0.998,1.707012,0.023941,203.622414626,1.88110907291,True,mc/mc_beta0.5_s,False,,,,5.97439172323
mc/mc_low_rmu_s_beta0_5,mc_low_rmu_s_beta0_5_gid-18_20260711_042820,0.5,0.998,1.710561,-3e-05,327.621566878,1.45026441196,True,mc/mc_low_rmu_s_beta0_5,False,,,,4.1717167308
mc/mc_infill_3_4,mc_infill_3_4_gid-252_20260714_175436,0.5,0.998,1.710961,0.006773,280.177499216,1.59510443167,True,mc/mc_infill_3_4,False,,,,4.68192828791
mc/mc_infill_1_2,mc_infill_1_2_gid-204_20260714_175036,0.5,0.998,1.7123,-0.018094,538.225620755,0.95954148026,True,mc/mc_infill_1_2,False,,,,2.79600216929
mc/mc_beta0.5_s,mc_beta0.5_s_gid-78_20260710_095411,0.5,0.998,1.712553,0.017357,227.629068231,1.7835922521,True,mc/mc_beta0.5_s,False,,,,5.48440157999
mc/mc_infill_2_3_a,mc_infill_2_3_a_gid-162_20260714_213243,0.5,0.998,1.712722,-0.009161,415.48335107,1.22417152885,True,mc/mc_infill_2_3_a,True,0.206619,415.483639,1.224172,3.48269987738
mc/mc_beta0.5_s,mc_beta0.5_s_gid-1008_20260710_053706,0.5,0.998,1.718088,0.00081,320.003212978,1.47125814921,True,mc/mc_beta0.5_s,False,,,,4.25020150935
mc/mc_low_rmu_s_beta0_5,mc_low_rmu_s_beta0_5_gid-300_20260711_043405,0.5,0.998,1.719446,-0.008717,408.9514692,1.23865247653,True,mc/mc_low_rmu_s_beta0_5,False,,,,3.52985491265
mc/mc_beta0.5_s,mc_beta0.5_s_gid-51_20260710_095304,0.5,0.998,1.720456,0.020055,216.643783976,1.82614265472,True,mc/mc_beta0.5_s,False,,,,5.70457893446
mc/mc_low_rmu_s_beta0_5,mc_low_rmu_s_beta0_5_gid-165_20260711_042829,0.5,0.998,1.721077,0.004965,290.391505712,1.56086013455,True,mc/mc_low_rmu_s_beta0_5,False,,,,4.56726485848
mc/mc_infill_1_2,mc_infill_1_2_gid-102_20260714_214037,0.5,0.998,1.721375,-0.029663,763.906704113,0.544955404399,True,mc/mc_infill_1_2,False,,,,1.92936577056
mc/mc_infill_1_2,mc_infill_1_2_gid-474_20260714_174741,0.5,0.998,1.723076,-0.024116,641.032855673,0.760041725986,True,mc/mc_infill_1_2,False,,,,2.37245830485
mc/mc_beta0.5_s,mc_beta0.5_s_gid-180_20260710_094939,0.5,0.998,1.723373,0.023743,203.60919916,1.8795590315,True,mc/mc_beta0.5_s,False,,,,5.9903602962
mc/mc_infill_lt1_ws,mc_infill_lt1_ws_gid-480_20260715_224111,0.5,0.998,1.723905,-0.033929,838.696864525,0.40308906481,False,mc/mc_infill_lt1_ws,True,0.050621,865.742932,0.409604,1.57789957305
mc/mc_infill_3_4,mc_infill_3_4_gid-66_20260714_162252,0.5,0.998,1.724231,-0.004986,369.06037332,1.33655096636,True,mc/mc_infill_3_4,False,,,,3.81689110817
mc/mc_beta0.5_s,mc_beta0.5_s_gid-468_20260710_100843,0.5,0.998,1.724306,0.011615,252.671036929,1.68847438436,True,mc/mc_beta0.5_s,False,,,,5.07339036471
mc/mc_beta0.5_s,mc_beta0.5_s_gid-789_20260710_101347,0.5,0.998,1.727446,0.019046,220.097174534,1.81161983615,True,mc/mc_beta0.5_s,False,,,,5.64157952938
mc/mc_infill_2_3_a,mc_infill_2_3_a_gid-102_20260714_213450,0.5,0.998,1.728011,-0.008533,405.059467697,1.24677956133,True,mc/mc_infill_2_3_a,True,0.219846,405.059621,1.246779,3.561715163
mc/mc_infill_1_2,mc_infill_1_2_gid-462_20260714_175440,0.5,0.998,1.730919,-0.020727,574.441696181,0.882290516191,True,mc/mc_infill_1_2,False,,,,2.63411071578
mc/mc_wrongbasin_ws,mc_wrongbasin_ws_gid-42_20260713_015213,0.5,0.998,1.731559,-0.022934,613.780755468,0.809115981905,True,mc/mc_wrongbasin_ws,True,0.147491,617.022821,0.807118,2.46100009693
mc/mc_infill_lt1_ws,mc_infill_lt1_ws_gid-314_20260715_222605,0.5,0.998,1.732804,-0.036055,899.077804922,0.298562128564,False,mc/mc_infill_lt1_ws,True,0.041651,908.978429,0.352567,1.40570683653
mc/mc_infill_2_3,mc_infill_2_3_gid-132_20260715_041124,0.5,0.998,1.733764,-0.016809,511.516152264,1.01139288948,True,mc/mc_infill_2_3,True,0.163349,511.525294,1.011321,2.94554543584
