income_threshold,population_below,population_fraction,income_below,income_fraction,country,decile
2118.820401968815,2674513671.2979946,0.3464653604832351,3297170669206.5,0.03673505667897564,West Bank and Gaza,5
2121.6806606494893,2674619155.3979945,0.34647902524297214,3297394472781.476,0.036737550161369044,Djibouti,6
2123.186796178766,2675458340.3979945,0.3465877360477279,3299176219293.0273,0.036757401290005084,Azerbaijan,5
2126.711898638165,2688319652.0979943,0.3482538329692909,3326528523917.5117,0.03706214391981953,Mexico,1
2127.045358109835,2688337200.395994,0.3482561062339437,3326565849943.3154,0.037062559783543635,St. Lucia,1
2128.737028356905,2688788758.095994,0.3483146025142164,3327527097539.745,0.03707326941567374,Panama,1
2133.6206583494013,2689931513.795994,0.3484626388730482,3329965304708.7114,0.03710043442699195,Dominican Republic,1
2134.9478090272514,2691684147.2519937,0.3486896808166525,3333707085665.6265,0.03714212305925364,Senegal,9
2139.4538468719484,2691799245.6479936,0.3487045910441414,3333953333371.7173,0.037144866600412975,Eswatini,6
2144.9858224090453,2695435431.5479937,0.34917563461073353,3341752900574.861,0.03723176460237412,Uzbekistan,3
2155.8305163774107,2699903432.9479938,0.3497544343126395,3351385154340.1978,0.03733908127582406,Ukraine,6
2157.6865493913,2705556598.7649937,0.350486764139059,3363582914185.017,0.03747498124710574,South Africa,5
2159.182216672365,2717045718.664994,0.351975102789374,3388390017558.3135,0.03775136680305228,Philippines,4
2164.9380447190756,2722277833.8649936,0.35265288832410935,3399717222809.1465,0.03787756758810411,Colombia,3
2165.007678242436,2725262378.9649935,0.3530395161828662,3406178785866.7075,0.03794955836715935,Ghana,8
2166.2555312405293,2726486794.8649936,0.3531981310745108,3408831183582.6216,0.0379791097583989,Bolivia,5
2167.285298135476,2733657038.3649936,0.3541269881694063,3424371146904.223,0.03815224651432717,Thailand,1
2168.3728115196704,2734288000.7649937,0.35420872512880697,3425739308617.474,0.038167489734386016,El Salvador,3
2170.7025268489547,2745511617.1989937,0.3556626695806385,3450102441171.141,0.03843892883931161,"Egypt, Arab Rep.",2
2172.707845108879,2762450106.8989935,0.3578569376462431,3486904830626.627,0.038848958527854964,Bangladesh,8
2187.3038220490416,2763457083.9989934,0.3579873847954553,3489107395486.173,0.038873498156849665,Haiti,9
